TIME,UR
1989-01-01,2.583333
1990-01-01,2.458333
1991-01-01,2.45
1992-01-01,2.525
1993-01-01,2.9
1994-01-01,2.475
1995-01-01,2.066667
1996-01-01,2.058333
1997-01-01,2.6166669999999996
1998-01-01,6.95
1999-01-01,6.5833330000000005
2000-01-01,4.425
2001-01-01,4.0
2002-01-01,3.2583330000000004
2003-01-01,3.55
2004-01-01,3.6583330000000003
2005-01-01,3.75
2006-01-01,3.475
2007-01-01,3.2583330000000004
2008-01-01,3.175
2009-01-01,3.6333330000000004
2010-01-01,3.708333
2011-01-01,3.4083330000000003
2012-01-01,3.225
2013-01-01,3.1
2014-01-01,3.4916669999999996
2015-01-01,3.5916669999999997
2016-01-01,3.675
2017-01-01,3.683333
2018-01-01,3.833333
2019-01-01,3.7833330000000003
